asdf_id,viirs_ntl_annual_v20_avg_masked.2019.max,viirs_ntl_annual_v20_avg_masked.2019.mean,viirs_ntl_annual_v20_avg_masked.2019.min,viirs_ntl_annual_v20_avg_masked.2019.sum,viirs_ntl_annual_v20_avg_masked.2019.count,viirs_ntl_annual_v20_avg_masked.2014.max,viirs_ntl_annual_v20_avg_masked.2014.mean,viirs_ntl_annual_v20_avg_masked.2014.min,viirs_ntl_annual_v20_avg_masked.2014.sum,viirs_ntl_annual_v20_avg_masked.2014.count,viirs_ntl_annual_v20_avg_masked.2012.max,viirs_ntl_annual_v20_avg_masked.2012.mean,viirs_ntl_annual_v20_avg_masked.2012.min,viirs_ntl_annual_v20_avg_masked.2012.sum,viirs_ntl_annual_v20_avg_masked.2012.count,viirs_ntl_annual_v20_avg_masked.2016.max,viirs_ntl_annual_v20_avg_masked.2016.mean,viirs_ntl_annual_v20_avg_masked.2016.min,viirs_ntl_annual_v20_avg_masked.2016.sum,viirs_ntl_annual_v20_avg_masked.2016.count,viirs_ntl_annual_v20_avg_masked.2015.max,viirs_ntl_annual_v20_avg_masked.2015.mean,viirs_ntl_annual_v20_avg_masked.2015.min,viirs_ntl_annual_v20_avg_masked.2015.sum,viirs_ntl_annual_v20_avg_masked.2015.count,viirs_ntl_annual_v20_avg_masked.2013.max,viirs_ntl_annual_v20_avg_masked.2013.mean,viirs_ntl_annual_v20_avg_masked.2013.min,viirs_ntl_annual_v20_avg_masked.2013.sum,viirs_ntl_annual_v20_avg_masked.2013.count,viirs_ntl_annual_v20_avg_masked.2017.max,viirs_ntl_annual_v20_avg_masked.2017.mean,viirs_ntl_annual_v20_avg_masked.2017.min,viirs_ntl_annual_v20_avg_masked.2017.sum,viirs_ntl_annual_v20_avg_masked.2017.count,viirs_ntl_annual_v20_avg_masked.2020.max,viirs_ntl_annual_v20_avg_masked.2020.mean,viirs_ntl_annual_v20_avg_masked.2020.min,viirs_ntl_annual_v20_avg_masked.2020.sum,viirs_ntl_annual_v20_avg_masked.2020.count,viirs_ntl_annual_v20_avg_masked.2018.max,viirs_ntl_annual_v20_avg_masked.2018.mean,viirs_ntl_annual_v20_avg_masked.2018.min,viirs_ntl_annual_v20_avg_masked.2018.sum,viirs_ntl_annual_v20_avg_masked.2018.count,ambient_air_pollution_2013_fus_calibrated.1990.mean,ambient_air_pollution_2013_fus_calibrated.1995.mean,ambient_air_pollution_2013_fus_calibrated.2000.mean,ambient_air_pollution_2013_fus_calibrated.2005.mean,ambient_air_pollution_2013_fus_calibrated.2010.mean,ambient_air_pollution_2013_fus_calibrated.2011.mean,ambient_air_pollution_2013_fus_calibrated.2012.mean,ambient_air_pollution_2013_fus_calibrated.2013.mean,oco2_v10r_xco2_yearly.2015.mean,oco2_v10r_xco2_yearly.2015.max,oco2_v10r_xco2_yearly.2015.min,oco2_v10r_xco2_yearly.2017.mean,oco2_v10r_xco2_yearly.2017.max,oco2_v10r_xco2_yearly.2017.min,oco2_v10r_xco2_yearly.2019.mean,oco2_v10r_xco2_yearly.2019.max,oco2_v10r_xco2_yearly.2019.min,oco2_v10r_xco2_yearly.2020.mean,oco2_v10r_xco2_yearly.2020.max,oco2_v10r_xco2_yearly.2020.min,oco2_v10r_xco2_yearly.2018.mean,oco2_v10r_xco2_yearly.2018.max,oco2_v10r_xco2_yearly.2018.min,oco2_v10r_xco2_yearly.2016.mean,oco2_v10r_xco2_yearly.2016.max,oco2_v10r_xco2_yearly.2016.min,Level,gqid,id,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,16.8740253448,1.26470283442,0.0,1145.45007324,907.640014648,10.4414215088,0.531213071691,0.0,481.307617188,907.640014648,13.6947202682,0.549357563227,0.0,497.730194092,907.640014648,23.7376384735,1.09764033974,0.0,994.498046875,907.640014648,16.8804225922,1.07753566771,0.0,976.306762695,907.640014648,21.7972583771,0.652029011652,0.0,590.755249023,907.640014648,22.7908821106,1.21956715223,0.0,1104.70007324,907.640014648,11.6969594955,1.15042888161,0.0,1041.25048828,907.640014648,21.4458389282,1.12504782209,0.0,1018.88537598,907.640014648,33.4503211334,33.3960732634,33.3754432745,27.3872931724,26.0685442125,26.0478476935,26.0271690318,26.0065082107,399.464019924,399.919713684,398.956278105,405.506734709,405.735196818,405.329295,410.584186622,410.82524148,410.292936305,413.530860973,413.81319,413.360468444,404.942571133,406.811068437,403.4974135,402.49314586,403.801762039,401.361863346,ADM1,0,0,GNB,GNB-ADM1-76643164B2363721,GW-BS,Bissau,ADM1
1,1.3312240839,0.00106704243451,0.0,30.6560554504,28729.609375,0.818232953548,0.000427503927756,0.0,12.2825698853,28729.609375,0.610518753529,0.000240993144586,0.0,6.92395401001,28729.609375,1.83931577206,0.00092966720386,0.0,26.7087783813,28729.609375,1.5704075098,0.00103586140721,0.0,29.7599372864,28729.609375,0.726620078087,0.000365448342679,0.0,10.4996557236,28729.609375,1.71475994587,0.00134027704657,0.0,38.5058784485,28729.609375,0.980587780476,0.000500296355886,0.0,14.3726377487,28729.609375,1.28431355953,0.0010921385975,0.0,31.3758277893,28729.609375,33.2628564646,33.2395748938,33.2049370906,33.5843809898,31.5090851621,31.6199159084,31.7368247751,31.8600117862,402.181950286,404.22986,401.17764,408.057437886,410.08431,406.632054366,410.918046291,413.252201429,409.4974,412.880176681,416.5133,411.683475,408.968879603,412.326675,404.806827847,404.17866646,406.30503875,400.78812,ADM1,1,1,GNB,GNB-ADM1-76643164B72191708,GW-BA,Bafatá,ADM1
2,12.5653171539,0.055357854788,0.0,226.053405762,4124.53027344,2.59302473068,0.0165494159809,0.0,67.5220947266,4124.53027344,3.49399805069,0.0124176181112,0.0,50.3304176331,4124.53027344,7.35039329529,0.0304790338778,0.0,124.036819458,4124.53027344,7.22596549988,0.0325322947189,0.0,132.567306519,4124.53027344,3.19859051704,0.0154875117281,0.0,62.8477020264,4124.53027344,7.29229068756,0.0437596722723,0.0,178.368408203,4124.53027344,9.75795078278,0.0552715828992,0.0,225.228759766,4124.53027344,14.5511684418,0.0524414986833,0.0,214.162872314,4124.53027344,31.0386202446,31.0024323293,30.9655850348,28.2730531163,26.7257130317,27.0505464641,27.3834120994,27.7245334268,399.134292162,399.784034947,398.549988531,405.365582551,405.7721305,405.00551375,409.668428736,410.782824565,408.888071989,412.958273478,413.81319,411.931148,402.892754331,406.8741825,399.94553,403.359241219,406.050477499,400.760750435,ADM1,2,2,GNB,GNB-ADM1-76643164B68395788,GW-BM,Biombo,ADM1
3,0.811553239822,0.00149660528566,0.0,9.2526922226,6588.20996094,0.366473585367,0.000171191393927,0.0,1.04573154449,6588.20996094,0.0,0.0,0.0,0.0,6588.20996094,1.41580331326,0.00203025938192,0.0,12.8701343536,6588.20996094,0.361307322979,0.000247773906665,0.0,1.55869877338,6588.20996094,0.324131339788,0.000153212499163,0.0,0.916882038116,6588.20996094,1.38219952583,0.00277418474815,0.0,17.5414009094,6588.20996094,0.548443377018,0.000801226871216,0.0,4.96712303162,6588.20996094,1.22773993015,0.00255403150642,0.0,16.0179691315,6588.20996094,33.0760318979,33.0387732843,32.9951434961,29.3385372967,27.0642593738,27.8058175929,28.601317768,29.4549692294,400.695027388,402.213746667,399.424554,405.721754734,407.8512925,404.523140909,408.940146078,411.62086,405.77845,412.437074041,415.268597272,409.745778333,405.245391633,408.434703333,403.5354,404.020767528,406.192764594,401.525842364,ADM1,3,3,GNB,GNB-ADM1-76643164B8776181,GW-BL,Bolama,ADM1
4,0.945162832737,0.000912692583077,0.0,22.6859283447,24863.1408691,0.516566693783,0.000201941033214,0.0,5.01888895035,24863.1408691,0.469254612923,0.000168680603323,0.0,4.19219589233,24863.1408691,1.33832752705,0.000610623806193,0.0,15.1784706116,24863.1408691,1.47975504398,0.000728063169124,0.0,18.0971400738,24863.1408691,0.586096763611,0.000257438833506,0.0,6.39809465408,24863.1408691,1.15711688995,0.0010967281363,0.0,27.2613754272,24863.1408691,0.682107567787,0.00057256844169,0.0,14.2337789536,24863.1408691,1.07771337032,0.00101239043155,0.0,25.1657905579,24863.1408691,32.4707997254,32.4334878653,32.3961576731,30.1229462415,28.4691858695,28.5521566486,28.6373609178,28.7248557285,399.491937422,402.44699,398.404691186,405.463980443,407.997155679,404.67117,409.712560451,413.42175,408.532485024,413.13671496,415.862016667,411.19583,404.593803642,409.963385,402.166250417,402.152770337,406.050477499,399.9562,ADM1,4,4,GNB,GNB-ADM1-76643164B9765180,GW-CA,Cacheu,ADM1
5,1.06540060043,0.000564258509407,0.0,24.6259899139,43623.2373047,0.719962656498,0.000372952837063,0.0,16.2768287659,43623.2373047,0.634250998497,0.000117773367589,0.0,5.1400270462,43623.2373047,1.9942997694,0.000495775828558,0.0,21.6370792389,43623.2373047,1.26138138771,0.000430995572676,0.0,18.809885025,43623.2373047,1.01397776604,0.000210952518888,0.0,9.20668506622,43623.2373047,1.39855384827,0.000712777342004,0.0,31.107749939,43623.2373047,0.928310334682,0.000627859825297,0.0,27.4016914368,43623.2373047,1.25320839882,0.000677334657916,0.0,29.5609455109,43623.2373047,35.1996565556,35.1644366402,35.1269083084,35.5461145554,33.754309282,34.7892844727,35.8821906217,37.0369125604,401.944339995,403.59634,400.322070423,407.963186309,409.099901771,406.740618933,410.841559799,412.935074286,406.8782875,414.076106671,415.589433333,412.88663,409.891912835,410.8473,408.298845155,404.079279635,406.332158889,402.199807619,ADM1,5,5,GNB,GNB-ADM1-76643164B30536517,GW-GA,Gabu,ADM1
6,0.594176590443,0.000391271360699,0.0,10.6461668015,27219.0585938,0.0,0.0,0.0,0.0,27219.0585938,0.530288219452,3.85073164122e-05,0.0,1.04714465141,27219.0585938,0.620114922523,0.000432291678699,0.0,11.7623701096,27219.0585938,0.0,0.0,0.0,0.0,27219.0585938,0.0,0.0,0.0,0.0,27219.0585938,0.677141547203,0.000923028018497,0.0,25.1151866913,27219.0585938,0.0,0.0,0.0,0.0,27219.0585938,0.758237302303,0.000849181422035,0.0,23.1069984436,27219.0585938,32.6871333288,32.653514483,32.6192761747,31.8275103118,30.2398118006,30.2594719254,30.2804847021,30.302880888,400.957662487,403.0827735,398.2642,407.022493457,410.08431,405.43393375,411.480789496,413.56863,409.264766667,414.179470749,416.5133,411.683475,408.315439062,412.326675,403.606036835,404.176536543,406.276464545,402.369851304,ADM1,6,6,GNB,GNB-ADM1-76643164B60859401,GW-OI,Oio,ADM1
7,1.12265181541,0.00135484659544,0.0,21.0012931824,15505.0791016,0.0,0.0,0.0,0.0,15505.0791016,0.0,0.0,0.0,0.0,15505.0791016,0.539520204067,0.000617074619408,0.0,9.56575202942,15505.0791016,0.661032617092,0.000743172546527,0.0,11.5208501816,15505.0791016,0.0,0.0,0.0,0.0,15505.0791016,0.610823631287,0.00084977398891,0.0,13.1717672348,15505.0791016,0.616733968258,0.00054234569192,0.0,8.40702056885,15505.0791016,1.06077969074,0.00144104953665,0.0,22.335893631,15505.0791016,31.5189462887,31.491542334,31.4522700679,29.3149653588,26.5658911091,27.1622246253,27.800685511,28.4843726976,401.889622943,404.22986,399.505835263,408.170123466,410.37329,404.62598,411.611948559,414.087466666,409.08271,414.150452226,416.5133,412.037227037,408.823597457,411.419465,405.27335525,404.544717799,406.014584118,401.361863346,ADM1,7,7,GNB,GNB-ADM1-76643164B52305557,GW-QU,Quinara,ADM1
8,1.63646686077,0.000868318162937,0.0,15.4047365189,17728.8398438,0.928406298161,0.000288866816544,0.0,5.12590932846,17728.8398438,0.913165390491,0.000286076265184,0.0,5.07640981674,17728.8398438,1.72271978855,0.000678906969413,0.0,12.0417728424,17728.8398438,1.76786994934,0.000813550320038,0.0,14.4304800034,17728.8398438,1.97972726822,0.000700798477681,0.0,12.4356212616,17728.8398438,1.29526305199,0.000982916217609,0.0,17.432094574,17728.8398438,2.41677212715,0.00128765202673,0.0,22.8457965851,17728.8398438,1.28953874111,0.00089445385704,0.0,15.8673343658,17728.8398438,31.8163487022,31.7812693149,31.7500428839,30.2131280227,27.460426775,27.6784010968,27.9343029243,28.2286328883,401.75476779,402.954086429,399.104636667,408.011621744,409.82848,404.62598,411.087097494,412.58734125,409.494365,413.85077147,415.065785,412.032418947,409.157254715,410.55200421,406.421885833,404.783968077,406.275645,403.579657538,ADM1,8,8,GNB,GNB-ADM1-76643164B98453999,GW-TO,Tombali,ADM1
