asdf_id,globalenvironmentfacilitysectors_geocodedresearchrelease_level1_v1_1_0.14f29e0.sum,worldpop_pop_count_1km_mosaic.2010.sum,worldpop_pop_count_1km_mosaic.2010.count,worldpop_pop_count_1km_mosaic.2011.sum,worldpop_pop_count_1km_mosaic.2011.count,worldpop_pop_count_1km_mosaic.2012.sum,worldpop_pop_count_1km_mosaic.2012.count,worldpop_pop_count_1km_mosaic.2013.sum,worldpop_pop_count_1km_mosaic.2013.count,worldpop_pop_count_1km_mosaic.2014.sum,worldpop_pop_count_1km_mosaic.2014.count,worldpop_pop_count_1km_mosaic.2015.sum,worldpop_pop_count_1km_mosaic.2015.count,worldpop_pop_count_1km_mosaic.2016.sum,worldpop_pop_count_1km_mosaic.2016.count,worldpop_pop_count_1km_mosaic.2017.sum,worldpop_pop_count_1km_mosaic.2017.count,worldpop_pop_count_1km_mosaic.2018.sum,worldpop_pop_count_1km_mosaic.2018.count,worldpop_pop_count_1km_mosaic.2019.sum,worldpop_pop_count_1km_mosaic.2019.count,worldpop_pop_count_1km_mosaic.2020.sum,worldpop_pop_count_1km_mosaic.2020.count,viirs_ntl_annual_v20_cf_cvg.2020.count,viirs_ntl_annual_v20_cf_cvg.2020.sum,viirs_ntl_annual_v20_cf_cvg.2019.count,viirs_ntl_annual_v20_cf_cvg.2019.sum,viirs_ntl_annual_v20_cf_cvg.2018.count,viirs_ntl_annual_v20_cf_cvg.2018.sum,viirs_ntl_annual_v20_cf_cvg.2016.count,viirs_ntl_annual_v20_cf_cvg.2016.sum,viirs_ntl_annual_v20_cf_cvg.2017.count,viirs_ntl_annual_v20_cf_cvg.2017.sum,viirs_ntl_annual_v20_cf_cvg.2015.count,viirs_ntl_annual_v20_cf_cvg.2015.sum,viirs_ntl_annual_v20_cf_cvg.2013.count,viirs_ntl_annual_v20_cf_cvg.2013.sum,viirs_ntl_annual_v20_cf_cvg.2012.count,viirs_ntl_annual_v20_cf_cvg.2012.sum,viirs_ntl_annual_v20_cf_cvg.2014.count,viirs_ntl_annual_v20_cf_cvg.2014.sum,viirs_ntl_annual_v20_avg_masked.2020.mean,viirs_ntl_annual_v20_avg_masked.2019.mean,viirs_ntl_annual_v20_avg_masked.2018.mean,viirs_ntl_annual_v20_avg_masked.2017.mean,viirs_ntl_annual_v20_avg_masked.2015.mean,viirs_ntl_annual_v20_avg_masked.2016.mean,viirs_ntl_annual_v20_avg_masked.2014.mean,viirs_ntl_annual_v20_avg_masked.2012.mean,viirs_ntl_annual_v20_avg_masked.2013.mean,udel_precip_v501_mean.2017.mean,udel_precip_v501_mean.2016.mean,udel_precip_v501_mean.2015.mean,udel_precip_v501_mean.2014.mean,udel_precip_v501_mean.2013.mean,udel_precip_v501_mean.2011.mean,udel_precip_v501_mean.2012.mean,udel_precip_v501_mean.2010.mean,udel_air_temp_v501_mean.2017.mean,udel_air_temp_v501_mean.2015.mean,udel_air_temp_v501_mean.2016.mean,udel_air_temp_v501_mean.2014.mean,udel_air_temp_v501_mean.2011.mean,udel_air_temp_v501_mean.2012.mean,udel_air_temp_v501_mean.2013.mean,udel_air_temp_v501_mean.2010.mean,oco2_v10r_xco2_yearly.2020.mean,oco2_v10r_xco2_yearly.2019.mean,oco2_v10r_xco2_yearly.2018.mean,oco2_v10r_xco2_yearly.2017.mean,oco2_v10r_xco2_yearly.2015.mean,oco2_v10r_xco2_yearly.2016.mean,ambient_air_pollution_2013_o3.2010.mean,ambient_air_pollution_2013_o3.2011.mean,ambient_air_pollution_2013_o3.2013.mean,ambient_air_pollution_2013_o3.2012.mean,ambient_air_pollution_2013_fus_calibrated.2013.mean,ambient_air_pollution_2013_fus_calibrated.2012.mean,ambient_air_pollution_2013_fus_calibrated.2011.mean,ambient_air_pollution_2013_fus_calibrated.2010.mean,gpw_v3_count.2000.sum,Level,gqid,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,409647.388158,1853305.0,299.58001709,1959120.5,299.58001709,2073381.125,299.58001709,2194995.25,299.58001709,2324024.0,299.58001709,2460461.0,299.58001709,2606731.5,299.58001709,2763296.0,299.58001709,2928215.0,299.58001709,3107784.0,299.58001709,3294827.0,299.58001709,1188.15002441,1177.75,1188.15002441,1177.75,1188.15002441,1177.75,1188.15002441,1177.75,1188.15002441,1177.75,1188.15002441,1177.75,1188.15002441,1177.75,1188.15002441,1177.75,1188.15002441,1177.75,13.9164134141,14.0589157183,13.3858951191,12.6941253768,10.4453742582,11.3888458516,9.765373026,9.06924861701,9.68978141813,80.5437499873,79.3312499969,79.0031250203,87.2125000102,110.426041643,78.3000000029,96.0447916526,90.5197916503,27.7250000041,27.454166671,27.8312500045,27.5250000047,27.4208333371,27.0729166712,27.6416666713,27.8604166709,411.710886192,410.5932829,408.925695834,405.990902907,400.771224755,397.915575176,50.6340220445,50.6328073952,50.6303785601,50.6315927459,26.9419418929,26.816927099,26.6940985797,26.5734233291,12404.6650391,ADM1,0,MLI,MLI-ADM1-92416918B76877490,ML-BKO,Bamako,ADM1
1,446293.511544,567253.496368,218151.976103,593957.970123,218151.976103,621480.661728,218151.976103,651334.01619,218151.976103,683148.001953,218151.976103,717216.484634,218151.976103,752991.357056,218151.976103,791582.484421,218151.976103,832905.149185,218151.976103,877549.813423,218151.976103,925038.474319,218151.976103,872343.574287,872072.258995,872343.574287,872072.258995,872343.574287,872072.258995,872343.574287,872072.258995,872343.574287,872072.258995,872343.574287,872072.258995,872343.574287,872072.258995,872343.574287,872072.258995,872343.574287,872072.258995,0.000887247075562,0.000836409056308,0.00076071726344,0.000741190917519,0.000440944361048,0.000598957399056,0.000316969978428,8.73293314e-06,5.01521953801e-05,20.4554971095,27.2741827866,20.1345280932,17.7700538242,21.884776104,16.4665244016,26.8739699855,20.0525023013,30.1131203171,29.7918176908,30.2192911028,30.3287384216,30.1761978436,29.8789497276,30.225025056,30.8548466354,411.858888519,409.760736999,407.78668188,405.413068181,399.057441769,402.592647915,46.8716024787,46.8833119747,46.9067411472,46.8950248346,38.0775823169,37.6704648493,37.2935726733,36.9456706179,438804.1875,ADM1,1,MLI,MLI-ADM1-92416918B30972134,ML-7,Gao,ADM1
2,4107030.6667,2066740.28748,147429.001541,2140435.28906,147429.001541,2218732.31512,147429.001541,2300263.50146,147429.001541,2386126.69263,147429.001541,2473691.13965,147429.001541,2567012.63318,147429.001541,2663216.65369,147429.001541,2764228.33179,147429.001541,2869051.94409,147429.001541,2977562.20215,147429.001541,590723.906067,590415.349152,590723.906067,590415.349152,590723.906067,590415.349152,590723.906067,590415.349152,590723.906067,590415.349152,590723.906067,590415.349152,590723.906067,590415.349152,590723.906067,590415.349152,590723.906067,590415.349152,0.0100908953508,0.0100662018746,0.00937438673161,0.00934342162692,0.00598454492277,0.00718191688539,0.00545519523462,0.00428559573194,0.00550453991835,65.8751533696,72.8924653166,78.517190787,72.1199142816,85.3450756546,59.7554692344,82.3101456577,71.7495750773,29.4528510049,29.1189184372,29.4636026175,28.9202528561,29.568847621,28.623940998,29.0733563684,29.7891739274,413.839542113,410.562671711,409.038105136,406.722814007,400.26780942,403.71653554,47.6532746621,47.6489190904,47.6402122994,47.644564935,39.3667326518,38.1943380279,37.0772505528,36.0125151562,1339986.875,ADM1,2,MLI,MLI-ADM1-92416918B72261864,ML-1,Kayes,ADM1
3,364895.687423,72214.8666992,186188.27124,76641.2608795,186188.27124,81250.9941711,186188.27124,86331.0948486,186188.27124,91800.8827515,186188.27124,97745.5657501,186188.27124,104174.804962,186188.27124,111095.647339,186188.27124,118574.855042,186188.27124,126677.506622,186188.27124,135471.480377,186188.27124,744464.852406,744184.012672,744464.852406,744184.012672,744464.852406,744184.012672,744464.852406,744184.012672,744464.852406,744184.012672,744464.852406,744184.012672,744464.852406,744184.012672,744464.852406,744184.012672,744464.852406,744184.012672,0.000686916651608,0.000593952062187,0.000473196719912,0.000412784552483,0.000251179265921,0.000366774524665,0.000242570715711,0.000285148818452,0.000247480284817,9.34804706412,7.66493805389,10.8636784391,5.06359768319,6.31003841919,9.05273754414,6.93886847656,13.3757570342,28.9499480497,28.2650441298,28.7911034073,29.1961990241,29.6218028674,29.0200943471,29.2209040294,30.6273896574,411.922823145,409.512360142,407.658019546,405.430107626,399.283274762,402.732761387,47.720836048,47.7322005104,47.7549392714,47.7435682673,54.3126444899,53.9639358895,53.6325948331,53.3181043109,49560.7421875,ADM1,3,MLI,MLI-ADM1-92416918B32728181,ML-8,Kidal,ADM1
4,6858899.98907,2592744.6582,109068.57489,2717880.66797,109068.57489,2852174.4375,109068.57489,2997880.875,109068.57489,3157076.94141,109068.57489,3331277.33594,109068.57489,3521711.93359,109068.57489,3730259.32422,109068.57489,3961974.9082,109068.57489,4214325.49414,109068.57489,4497803.72461,109068.57489,435992.194809,435670.566193,435992.194809,435670.566193,435992.194809,435670.566193,435992.194809,435670.566193,435992.194809,435670.566193,435992.194809,435670.566193,435992.194809,435670.566193,435992.194809,435670.566193,435992.194809,435670.566193,0.0340280041077,0.030013822975,0.0274878133485,0.024141959869,0.013929758582,0.0173104625602,0.0111460291371,0.00931835454336,0.00986274210978,59.1458800221,61.9888111059,64.8571851167,71.6565820256,84.9097773243,58.245784808,69.9080533324,74.6103240803,28.6985414678,28.3433298654,28.7799674881,28.302282273,28.5428624283,27.811378681,28.4830524693,28.9413727358,412.311067679,410.028291213,408.764056199,405.615538631,399.98427573,401.357566064,49.0107849461,49.0125205762,49.0159951903,49.0142573357,36.4503527355,35.4634771664,34.5453450805,33.6916532977,2884159.5,ADM1,4,MLI,MLI-ADM1-92416918B78388911,ML-2,Koulikouro,ADM1
5,6547683.27593,2106765.96875,95817.2055664,2172081.08594,95817.2055664,2241874.09375,95817.2055664,2312211.71094,95817.2055664,2385430.28125,95817.2055664,2463608.17188,95817.2055664,2543767.39062,95817.2055664,2627412.92188,95817.2055664,2713974.70312,95817.2055664,2805077.10938,95817.2055664,2899410.53125,95817.2055664,383182.400848,382935.066254,383182.400848,382935.066254,383182.400848,382935.066254,383182.400848,382935.066254,383182.400848,382935.066254,383182.400848,382935.066254,383182.400848,382935.066254,383182.400848,382935.066254,383182.400848,382935.066254,0.00379471366653,0.00355714651534,0.00366221905316,0.00370041047645,0.0029159490357,0.0028508586295,0.00298066140085,0.00196556084827,0.00224461224044,47.8652189386,54.4423148294,54.3365586464,50.4314076471,46.1247977636,38.4186357293,60.0983105868,58.5470913615,29.3784697027,28.9389106349,29.4247785567,29.1124374748,29.3021975599,28.8408757141,29.0575885915,29.7132006817,411.827912518,409.978391954,408.890323919,405.295618735,399.834606874,403.495047171,47.6908240321,47.6983556159,47.7134232217,47.7058886878,42.468970579,40.8152763852,39.270093034,37.8244792615,1611286.75,ADM1,5,MLI,MLI-ADM1-92416918B80310325,ML-5,Mopti,ADM1
6,3246549.44922,2425261.64062,74742.4912109,2503868.44531,74742.4912109,2585643.05469,74742.4912109,2670931.57812,74742.4912109,2759557.02344,74742.4912109,2852047.35938,74742.4912109,2948454.79688,74742.4912109,3048806.76562,74742.4912109,3153555.29688,74742.4912109,3262870.15625,74742.4912109,3376931.23438,74742.4912109,298759.081207,298542.653,298759.081207,298542.653,298759.081207,298542.653,298759.081207,298542.653,298759.081207,298542.653,298759.081207,298542.653,298759.081207,298542.653,298759.081207,298542.653,298759.081207,298542.653,0.0117207772454,0.0116311838033,0.0115619941638,0.0115962759018,0.00690848396414,0.00773651065559,0.00581162105545,0.00512776064464,0.0053354190055,52.8091728993,55.1049449613,61.1319304422,54.694021084,61.3853199433,44.6174486136,65.8106330595,73.724369391,29.1111802167,28.7973832305,29.2675766265,28.8016136929,28.9171449091,28.2349072704,28.7024742664,29.2715141672,412.039890597,410.43400743,407.395780883,405.894830445,399.211545952,403.150950891,48.718211792,48.7243765733,48.736710083,48.7305426504,34.6419151929,33.7897369068,32.9821619622,32.2164079543,1871679.125,ADM1,6,MLI,MLI-ADM1-92416918B74350774,ML-4,Segou,ADM1
7,1435808.11264,2750304.6875,85509.9804688,2856952.67188,85509.9804688,2968093.39062,85509.9804688,3085271.75,85509.9804688,3208329.0,85509.9804688,3337463.84375,85509.9804688,3473376.625,85509.9804688,3615864.8125,85509.9804688,3766389.8125,85509.9804688,3925151.76562,85509.9804688,4091657.125,85509.9804688,342550.523868,342236.320195,342550.523868,342236.320195,342550.523868,342236.320195,342550.523868,342236.320195,342550.523868,342236.320195,342550.523868,342236.320195,342550.523868,342236.320195,342550.523868,342236.320195,342550.523868,342236.320195,0.0143594849766,0.0137545523891,0.0134243617493,0.0123594983879,0.00868148249261,0.00920383243119,0.00779173457566,0.00665190578236,0.00798071771123,79.4414034835,100.504261389,91.4344780607,105.196148154,109.792759973,85.1914085449,100.27574714,112.652840047,28.2157436464,27.9374462928,28.2689113181,27.9531568792,27.8011500525,27.1620242659,27.6847190963,28.3138505527,413.080655936,410.502248253,408.258147014,406.138231724,400.439421701,403.539061689,54.5893270125,54.5780898257,54.5556272537,54.5668566467,26.4602306874,26.0298844995,25.6206379857,25.2312950723,2381806.25,ADM1,7,MLI,MLI-ADM1-92416918B6031110,ML-3,Sikasso,ADM1
8,1314315.28146,703618.154938,621682.012207,733838.844246,621682.012207,765708.681313,621682.012207,799471.874832,621682.012207,835201.762283,621682.012207,873102.037064,621682.012207,913252.039902,621682.012207,955855.777222,621682.012207,1001126.89609,621682.012207,1049272.63824,621682.012207,1100430.17548,621682.012207,2486311.79001,2485819.48661,2486311.79001,2485819.48661,2486311.79001,2485819.48661,2486311.79001,2485819.48661,2486311.79001,2485819.48661,2486311.79001,2485819.48661,2486311.79001,2485819.48661,2486311.79001,2485819.48661,2486311.79001,2485819.48661,0.000341744826326,0.000399904900954,0.00042159698407,0.000375109127173,0.000283810691326,0.000301147699606,0.000176645105297,1.31733862303e-05,3.83634347146e-06,11.4538323471,12.5625112819,14.0589624915,11.4242120423,8.96416052906,9.60765139201,13.5974237785,13.8937078714,28.8882619692,28.1451324552,28.6792058285,28.5044456924,29.1582821618,28.7010786111,28.7073432659,29.9737981821,412.00451831,409.130459651,408.054891077,404.847448234,399.504806421,402.677968645,47.3429922727,47.3442271879,47.3466990601,47.3454627724,106.933560451,105.346221782,103.836343374,102.398011884,799364.8125,ADM1,8,MLI,MLI-ADM1-92416918B22358092,ML-6,Tombouctou,ADM1
